round_epochs,loss,categorical_accuracy,val_loss,val_categorical_accuracy,lr,decay,momentum,batch_size
100,0.010792979020387061,0.9419332,0.00983723034157618,0.9419913,0.01,0.001,0.99,100
100,0.019264739745461355,0.9144634,0.017955137379091195,0.90577203,0.001,1e-05,0.9,100
100,0.05866539400989652,0.7466951,0.050742197002339326,0.7933622,0.001,0.001,0.9,100
100,0.019757039615303257,0.91041225,0.019007558187182246,0.8969697,0.001,0.0001,0.945,100
100,0.013458061325559082,0.93550104,0.014229538665028104,0.91529584,0.001,1e-05,0.945,100
100,0.007104738618266407,0.9637171,0.008170009344079751,0.9531746,0.01,0.0001,0.945,100
100,0.028784164790839867,0.87697226,0.025132243012173525,0.8792208,0.001,0.0001,0.9,100
100,0.040463414726290364,0.6866027,0.028741925723667957,0.8085137,0.1,0.001,0.99,100
100,0.013426378195246188,0.9228856,0.01107042385829669,0.93340546,0.1,0.001,0.945,100
100,0.013391398536815827,0.92469794,0.010318034014719691,0.9378788,0.01,0.0001,0.99,100
100,0.026598015124297304,0.8397299,0.01972670043303939,0.88160175,0.1,1e-05,0.945,100
100,0.018570983883684507,0.89356786,0.014079554413658974,0.91724384,0.01,1e-05,0.99,100
100,0.04531748374949217,0.8178394,0.03878881055781078,0.84516597,0.001,0.001,0.945,100
100,0.007686876614681328,0.9618337,0.009554344716899817,0.9422078,0.01,0.0001,0.9,100
100,0.05207739845077112,0.5777541,0.041012067382706366,0.7009379,0.1,0.0001,0.99,100
100,0.016494811261661864,0.92142856,0.016161007361827906,0.9082251,0.01,0.001,0.9,100
100,0.06243130188189082,0.5133262,0.053581902442814466,0.6118326,0.1,1e-05,0.99,100
100,0.007831684042657935,0.9604478,0.009400448692333582,0.9437951,0.001,0.0001,0.99,100
100,0.016842497942946698,0.9184435,0.016388498053148196,0.90584415,0.001,0.001,0.99,100
100,0.008106236229154235,0.95927507,0.008510093161336336,0.9507936,0.001,1e-05,0.99,100
100,0.011649921014521062,0.94239515,0.012536005612226233,0.92489177,0.01,0.001,0.945,100
100,0.013472724514639411,0.92498225,0.011186828612367397,0.9347763,0.1,0.0001,0.9,100
100,0.015929058954376508,0.9115849,0.012562092691310513,0.92813855,0.1,1e-05,0.9,100
100,0.007671235569166291,0.9608387,0.008167103830319097,0.95223665,0.01,1e-05,0.9,100
100,0.009096301965482993,0.95284295,0.008315580385007383,0.9512987,0.01,1e-05,0.945,100
100,0.018997686202872833,0.89051175,0.013796391206139009,0.915873,0.1,0.0001,0.945,100
100,0.010696544264613332,0.9406894,0.010069957931968148,0.938961,0.1,0.001,0.9,100
