round_epochs,loss,categorical_accuracy,val_loss,val_categorical_accuracy,lr,decay,momentum,batch_size
8,0.021367827362686068,0.88937455,0.01700522837969562,0.9062049,0.011000000000000001,8.800000000000001e-05,0.945,115
8,0.020926429811658574,0.8915423,0.016837974840272513,0.90367967,0.012100000000000001,7.2e-05,0.945,110
8,0.02113243931237219,0.89068943,0.01672018879573002,0.90880233,0.011000000000000001,7.2e-05,0.945,105
8,0.021168224153114854,0.8905473,0.01674660678595455,0.90627706,0.0099,8e-05,0.9544499999999999,115
8,0.020594456366957684,0.8894456,0.016981834792001188,0.90844154,0.012100000000000001,8.800000000000001e-05,0.9544499999999999,115
8,0.022270219264996807,0.885892,0.01739311711439355,0.9036075,0.0099,7.2e-05,0.93555,105
8,0.021368233815322723,0.88891256,0.017085777846948494,0.9044733,0.012100000000000001,8.800000000000001e-05,0.93555,110
8,0.020870397125212603,0.89356786,0.016655442107355957,0.908658,0.0099,8.800000000000001e-05,0.945,115
8,0.022241716952590695,0.8875622,0.017260493555416662,0.9044012,0.0099,7.2e-05,0.93555,110
8,0.02094731205699048,0.89093816,0.016520294551314277,0.9079365,0.012100000000000001,8e-05,0.9544499999999999,105
8,0.021573467968976988,0.8877043,0.016936799229094475,0.9054834,0.011000000000000001,8.800000000000001e-05,0.93555,105
8,0.020738642241451003,0.89218193,0.016141228604602157,0.9067821,0.012100000000000001,7.2e-05,0.93555,115
8,0.021296377564822114,0.8866027,0.016482235892026714,0.9044012,0.012100000000000001,8.800000000000001e-05,0.9544499999999999,105
8,0.020913601238690925,0.88958776,0.016977609772555004,0.9041847,0.012100000000000001,8.800000000000001e-05,0.945,115
8,0.02119408931527565,0.8905473,0.016926491386116002,0.90642136,0.0099,7.2e-05,0.9544499999999999,105
8,0.02076564748409418,0.8932836,0.01656328976183893,0.9076479,0.011000000000000001,8.800000000000001e-05,0.9544499999999999,110
8,0.020069508034902723,0.89687276,0.01572294715989494,0.91450214,0.0099,8.800000000000001e-05,0.9544499999999999,105
8,0.02097168313762982,0.8886638,0.01659151776472018,0.90627706,0.011000000000000001,8e-05,0.9544499999999999,110
8,0.02175743956044025,0.88958776,0.017100709683999613,0.9069986,0.011000000000000001,8.800000000000001e-05,0.93555,115
8,0.019872588532935106,0.8945629,0.016050997698171574,0.90815294,0.012100000000000001,7.2e-05,0.9544499999999999,105
8,0.0205940635795106,0.8926439,0.017280967474389623,0.9047619,0.011000000000000001,8e-05,0.9544499999999999,115
8,0.021114094595887513,0.8879531,0.016920476360985683,0.90483403,0.0099,7.2e-05,0.9544499999999999,110
8,0.02100743563609448,0.8914712,0.01660707214790763,0.90829724,0.012100000000000001,7.2e-05,0.945,105
8,0.021236071982980304,0.8914357,0.01687873700367553,0.90642136,0.0099,8e-05,0.945,110
8,0.020130893876961438,0.89442074,0.01621102038260232,0.910101,0.011000000000000001,8.800000000000001e-05,0.9544499999999999,115
8,0.02087390933310919,0.8901564,0.016420211664147,0.90909094,0.0099,8e-05,0.9544499999999999,105
8,0.021726918187854227,0.88820183,0.016746447619163628,0.90642136,0.011000000000000001,7.2e-05,0.93555,105
8,0.020398981869220734,0.8941365,0.016294573800581875,0.9083694,0.012100000000000001,8.800000000000001e-05,0.945,105
8,0.021684879811074222,0.88557214,0.0174978382604581,0.90324676,0.011000000000000001,7.2e-05,0.93555,110
8,0.02205926606560016,0.8896233,0.018119994720946702,0.8997114,0.0099,8.800000000000001e-05,0.93555,115
8,0.02181665463189051,0.88802415,0.01730110611589182,0.90274173,0.011000000000000001,8.800000000000001e-05,0.93555,110
8,0.020099487094779173,0.89683723,0.016180923323161782,0.90591633,0.0099,8e-05,0.9544499999999999,110
8,0.020280344075144036,0.895167,0.016107146406457537,0.90844154,0.011000000000000001,8e-05,0.945,110
8,0.020256043790575506,0.8950604,0.016393997530086024,0.910101,0.012100000000000001,8e-05,0.93555,105
8,0.021318126903739628,0.8898721,0.01672991448146537,0.9045454,0.011000000000000001,8e-05,0.93555,115
8,0.020558521374775457,0.89420754,0.016251457110248925,0.9053391,0.012100000000000001,7.2e-05,0.945,115
8,0.021027477451996623,0.890796,0.01608755668554009,0.9137085,0.012100000000000001,8e-05,0.945,115
8,0.021527649713124136,0.89065385,0.017419983922137006,0.9039683,0.0099,8.800000000000001e-05,0.93555,105
8,0.021608292823988354,0.8916844,0.016928564009228438,0.90959597,0.011000000000000001,7.2e-05,0.93555,115
8,0.020911786489800285,0.8886638,0.016615503185400456,0.9037518,0.012100000000000001,8e-05,0.945,105
8,0.02175319730602046,0.88635397,0.01725607876656483,0.9049062,0.011000000000000001,8e-05,0.945,115
8,0.02086188297688315,0.89026296,0.016367533351032637,0.90894663,0.011000000000000001,7.2e-05,0.9544499999999999,115
8,0.020215399344382223,0.8945629,0.01629643346126558,0.90829724,0.011000000000000001,8.800000000000001e-05,0.945,105
8,0.021185967079003016,0.89331913,0.01637772542409717,0.91103894,0.0099,7.2e-05,0.945,110
8,0.02105335500614232,0.8896233,0.016884286762289112,0.9067821,0.012100000000000001,8.800000000000001e-05,0.945,110
8,0.021198213037385394,0.8895167,0.016738840145990252,0.90598845,0.0099,8.800000000000001e-05,0.9544499999999999,115
8,0.02294206228365363,0.88653165,0.018178528184165255,0.9037518,0.0099,7.2e-05,0.93555,115
8,0.022123188632106848,0.88752663,0.017038248609052634,0.90584415,0.0099,7.2e-05,0.945,115
8,0.0214545757250957,0.8870291,0.016759516006069525,0.9053391,0.012100000000000001,8e-05,0.945,110
8,0.021284603750082984,0.88909024,0.01654511331721689,0.907215,0.011000000000000001,8e-05,0.945,105
8,0.021636621802833458,0.89218193,0.017009566249769358,0.9069986,0.011000000000000001,8e-05,0.93555,110
8,0.021752948566937623,0.887882,0.01712426078280039,0.9049062,0.011000000000000001,8e-05,0.93555,105
8,0.02103528359890985,0.8901564,0.01660168103549178,0.9069264,0.0099,8.800000000000001e-05,0.945,105
8,0.02079636318487987,0.88891256,0.01675968748231084,0.90858585,0.012100000000000001,8e-05,0.9544499999999999,115
8,0.020676982371294082,0.8899431,0.01659223437309265,0.9069986,0.012100000000000001,8.800000000000001e-05,0.9544499999999999,110
8,0.021231433932683362,0.8925373,0.016671653117307207,0.90800864,0.0099,8e-05,0.945,105
8,0.021442383030984172,0.8872424,0.01678599159248055,0.90353537,0.012100000000000001,7.2e-05,0.93555,110
8,0.0214499762904312,0.89353234,0.01790077138885662,0.90324676,0.0099,8e-05,0.945,115
8,0.021323308098449636,0.8915423,0.01674308589744297,0.90901875,0.012100000000000001,7.2e-05,0.93555,105
8,0.021776430586494595,0.88720685,0.01733320459191288,0.90295815,0.0099,8.800000000000001e-05,0.945,110
8,0.020587507329216624,0.8936745,0.016492702096464144,0.9072872,0.011000000000000001,8.800000000000001e-05,0.945,110
8,0.021970300900457956,0.88869935,0.017692782676242517,0.90209234,0.0099,8e-05,0.93555,105
8,0.02145490823571743,0.89004976,0.016767235110617347,0.90569985,0.012100000000000001,8e-05,0.93555,110
8,0.020537886024249535,0.8925373,0.016659049213760428,0.9073593,0.0099,8.800000000000001e-05,0.9544499999999999,110
8,0.02124523009701785,0.88877046,0.01678656414856739,0.90642136,0.0099,7.2e-05,0.945,105
8,0.02028677381797513,0.89172,0.01679673366897711,0.90916306,0.011000000000000001,8.800000000000001e-05,0.9544499999999999,105
8,0.020773663178586692,0.8906183,0.016482567195921685,0.9077922,0.011000000000000001,8e-05,0.9544499999999999,105
8,0.020637257292889212,0.89378107,0.016709567908759392,0.904329,0.012100000000000001,8.800000000000001e-05,0.93555,115
8,0.022319060351332888,0.8880597,0.017727055045618834,0.90353537,0.0099,8e-05,0.93555,115
8,0.020924180836761643,0.8875622,0.016638516603658598,0.9069986,0.012100000000000001,7.2e-05,0.9544499999999999,110
8,0.02072383214533594,0.8910092,0.01611136634361058,0.90627706,0.011000000000000001,7.2e-05,0.9544499999999999,110
8,0.020774673472285038,0.89225304,0.016771771855353987,0.9051948,0.012100000000000001,8e-05,0.93555,115
8,0.022469145214077887,0.88759774,0.017572766517303766,0.90353537,0.0099,8e-05,0.93555,110
8,0.020288995595869965,0.8927861,0.016504209562544784,0.90642136,0.012100000000000001,8e-05,0.9544499999999999,110
8,0.02254145697067679,0.88752663,0.017644264528320894,0.9025974,0.0099,8.800000000000001e-05,0.93555,110
8,0.019824731742364817,0.89509594,0.01576088210178101,0.9085137,0.012100000000000001,7.2e-05,0.9544499999999999,115
8,0.020142860064255214,0.89275056,0.0161528915808903,0.9107504,0.011000000000000001,7.2e-05,0.9544499999999999,105
8,0.02116415016839642,0.88916135,0.016804966511148395,0.9062049,0.012100000000000001,8.800000000000001e-05,0.93555,105
8,0.020815020799934705,0.88980097,0.016541865975817756,0.90526694,0.0099,7.2e-05,0.9544499999999999,115
8,0.020912264948995424,0.89246625,0.016451344965764926,0.9068543,0.011000000000000001,7.2e-05,0.945,110
8,0.020839090972864772,0.8918977,0.01660808114990764,0.90656567,0.011000000000000001,7.2e-05,0.945,115
